Feature,Importance
volatility_20,0.14552591381355937
sma_50,0.1187983056550928
sma_20,0.11695277816153603
atr_14,0.11004176332870169
macd,0.10062681537537743
bb_width,0.09173213315995127
momentum_20,0.08716316512240793
rsi_14,0.08678968778240073
momentum_10,0.08250553978691615
volume_ratio,0.059863897814056696
